trait_common,study_name_common,trait_rare,study_name_rare
"Tinnitus: Yes, now some of the time",ukb-d-4803-13,Tinnitus 13 Yes now some of the time (4803),ukb-wes-bm-00003743
Tobacco smoking: Smokes on most or all days,ukb-d-22506-111,Tobacco smoking 111 Smokes on most or all days (22506),ukb-wes-bm-00002073
Tobacco smoking: Occasionally,ukb-d-22506-112,Tobacco smoking 112 Occasionally (22506),ukb-wes-bm-00000598
Tobacco smoking: Never smoked,ukb-d-22506-114,Tobacco smoking 114 Never smoked (22506),ukb-wes-bm-00001582
Trouble falling asleep,ukb-d-20533,Trouble falling asleep - Yes (20533),ukb-wes-bm-00002737
Type of cancer: ICD10: C18.7 Sigmoid colon,ukb-b-15775,Type of Cancer: Malignant neoplasm of sigmoid colon (40006),ukb-wes-bm-00001837
Type of cancer: ICD10: C20 Malignant neoplasm of rectum,ukb-b-1251,Type of Cancer: Malignant neoplasm of rectum (40006),ukb-wes-bm-00000095
"Type of cancer: ICD10: C34.1 Upper lobe, bronchus or lung",ukb-b-18798,"Type of Cancer: Malignant neoplasm of upper lobe, bronchus or lung (40006)",ukb-wes-bm-00001157
"Type of cancer: ICD10: C43.7 Malignant melanoma of lower limb, including hip",ukb-b-2750,"Type of Cancer: Malignant melanoma of lower limb, including hip (40006)",ukb-wes-bm-00003635
"Type of cancer: ICD10: C50.9 Breast, unspecified",ukb-b-19041,Type of Cancer: Malignant neoplasm of breast (40006),ukb-wes-bm-00003288
Type of cancer: ICD10: C54.1 Endometrium,ukb-b-14956,Type of Cancer: Malignant neoplasm of endometrium (40006),ukb-wes-bm-00000110
Type of cancer: ICD10: C56 Malignant neoplasm of ovary,ukb-b-18157,Type of Cancer: Malignant neoplasm of ovary (40006),ukb-wes-bm-00000538
Type of cancer: ICD10: C61 Malignant neoplasm of prostate,ukb-b-1392,Type of Cancer: Malignant neoplasm of prostate (40006),ukb-wes-bm-00000398
"Type of cancer: ICD10: C64 Malignant neoplasm of kidney, except renal pelvis",ukb-b-1316,"Type of Cancer: Malignant neoplasm of kidney, except renal pelvis (40006)",ukb-wes-bm-00003326
"Ulcerative colitis, NAS",ukb-d-ULCERNAS,Ulcerative colitis (union),ukb-wes-az-00008036
Vitamin and mineral supplements: Folic acid or Folate (Vit B9),ukb-b-3563,Vitamin and mineral supplements - Folic acid or Folate Vit B9 (6155),ukb-wes-bm-00002919
Vitamin and mineral supplements: Multivitamins +/- minerals,ukb-b-16812,Vitamin and mineral supplements - Multivitamins minerals (6155),ukb-wes-bm-00002446
Waking too early,ukb-d-20535,Waking too early - Yes (20535),ukb-wes-bm-00000277
Which eye(s) affected by astigmatism: Both eyes,ukb-d-5855-3,Which eyes affected astigmatism - Both eyes (5855),ukb-wes-bm-00002590
Which eye(s) affected by astigmatism: Left eye,ukb-d-5855-2,Which eyes affected astigmatism - L eye (5855),ukb-wes-bm-00003068
Which eye(s) affected by astigmatism: Right eye,ukb-d-5855-1,Which eyes affected astigmatism - R eye (5855),ukb-wes-bm-00001787
Which eye(s) affected by hypermetropia (long sight): Both eyes,ukb-d-5832-3,Which eyes affected farsightedness - Both eyes (5832),ukb-wes-bm-00003419
Which eye(s) affected by hypermetropia (long sight): Left eye,ukb-d-5832-2,Which eyes affected farsightedness - L eye (5832),ukb-wes-bm-00002941
Which eye(s) affected by hypermetropia (long sight): Right eye,ukb-d-5832-1,Which eyes affected farsightedness - R eye (5832),ukb-wes-bm-00000554
Which eye(s) affected by myopia (short sight): Both eyes,ukb-d-5843-3,Which eyes affected myopia - Both eyes (5843),ukb-wes-bm-00001713
Which eye(s) affected by myopia (short sight): Left eye,ukb-d-5843-2,Which eyes affected myopia - L eye (5843),ukb-wes-bm-00001621
Which eye(s) affected by myopia (short sight): Right eye,ukb-d-5843-1,Which eyes affected myopia - R eye (5843),ukb-wes-bm-00003570
Which eye(s) affected by presbyopia: Both eyes,ukb-d-5610-3,Which eyes affected presbyopia - Both eyes (5610),ukb-wes-bm-00001491
Which eye(s) affected by presbyopia: Left eye,ukb-d-5610-2,Which eyes affected presbyopia - L eye (5610),ukb-wes-bm-00000605
Which eye(s) affected by presbyopia: Right eye,ukb-d-5610-1,Which eyes affected presbyopia - R eye (5610),ukb-wes-bm-00002329
White blood cell (leukocyte) count,ukb-d-30000-irnt,White blood cell leukocyte count (30000),ukb-wes-bm-00001994
