trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Sum basophil neutrophil counts	ebi-a-GCST004620	phenotype	opengwas	EUR	170143	153	sum of basophil and neutrophil counts	""	TRUE
Red cell distribution width	ebi-a-GCST90002369	phenotype	opengwas	EUR	531774	456	obsolete_red blood cell distribution width	ebi-a-GCST004621,ebi-a-GCST006804,ebi-a-GCST90002404,ebi-a-GCST90025988,ebi-a-GCST90029001	TRUE
Reticulocyte count	ebi-a-GCST90025972	phenotype	opengwas	EUR	437291	355	reticulocyte count	ebi-a-GCST004622,ebi-a-GCST90002405	FALSE
Neutrophil percentage of granulocytes	ebi-a-GCST004623	phenotype	opengwas	EUR	170672	147	neutrophil percentage of granulocytes	""	TRUE
Sum eosinophil basophil counts	ebi-a-GCST004624	phenotype	opengwas	EUR	171771	175	sum of eosinophil and basophil counts	""	TRUE
Monocyte count	ebi-a-GCST90002340	phenotype	opengwas	EUR	521594	524	monocyte count	ebi-a-GCST004625,ebi-a-GCST90018967,ebi-a-GCST90025950	TRUE
Myeloid white cell count	ebi-a-GCST004626	phenotype	opengwas	EUR	169219	157	myeloid white cell count	""	TRUE
Lymphocyte counts	ebi-a-GCST004627	phenotype	opengwas	EUR	171643	171	lymphocyte count	""	TRUE
Immature fraction of reticulocytes	ebi-a-GCST90025971	phenotype	opengwas	EUR	438154	269	Immature Reticulocyte Fraction Measurement	ebi-a-GCST004628,ebi-a-GCST90002387	FALSE
Neutrophil count	ebi-a-GCST90002351	phenotype	opengwas	EUR	519288	430	neutrophil count	ebi-a-GCST004629,ebi-a-GCST90002398,ebi-a-GCST90018968,ebi-a-GCST90025977	TRUE
Mean corpuscular hemoglobin	ebi-a-GCST90028995	phenotype	opengwas	EUR	572863	481	mean corpuscular hemoglobin	ebi-a-GCST004630,ebi-a-GCST90002322,ebi-a-GCST90002390,ebi-a-GCST90018964	FALSE
Basophil percentage of white cells	ebi-a-GCST90002380	phenotype	opengwas	EUR	408112	144	basophil percentage of leukocytes	ebi-a-GCST004631	TRUE
Lymphocyte percentage of white cells	ebi-a-GCST90002389	phenotype	opengwas	EUR	408112	364	lymphocyte percentage of leukocytes	ebi-a-GCST004632	TRUE
Neutrophil percentage of white cells	ebi-a-GCST90002399	phenotype	opengwas	EUR	408112	359	neutrophil percentage of leukocytes	ebi-a-GCST004633	TRUE
Basophil percentage of granulocytes	ebi-a-GCST004634	phenotype	opengwas	EUR	170223	60	basophil percentage of granulocytes	""	TRUE
Amyotrophic lateral sclerosis	ebi-a-GCST90027163	phenotype	opengwas	EUR	138086	14	amyotrophic lateral sclerosis	ebi-a-GCST004692,ebi-a-GCST005647,ebi-a-GCST90027164	TRUE
Amyotrophic lateral sclerosis	ebi-a-GCST90027164	phenotype	opengwas	EUR	138086	12	amyotrophic lateral sclerosis	ebi-a-GCST004692,ebi-a-GCST005647,ebi-a-GCST90027164	TRUE
Insomnia complaints	ebi-a-GCST004695	phenotype	opengwas	EUR	113006	1	insomnia	ebi-a-GCST006487,ebi-a-GCST006488	TRUE
Heart rate variability traits (pvRSA/HF)	ebi-a-GCST004732	phenotype	opengwas	EUR	24088	5	heart rate variability measurement	""	TRUE
Heart rate variability traits (RMSSD)	ebi-a-GCST004733	phenotype	opengwas	EUR	26523	6	heart rate variability measurement	""	TRUE
Heart rate variability traits (SDNN)	ebi-a-GCST004734	phenotype	opengwas	EUR	27850	6	heart rate variability measurement	""	TRUE
Lung adenocarcinoma	ebi-a-GCST004744	phenotype	opengwas	EUR	66756	14	lung adenocarcinoma	""	TRUE
Small cell lung carcinoma	ebi-a-GCST004746	phenotype	opengwas	EUR	24108	2	small cell lung carcinoma	""	TRUE
Lung cancer in never smokers	ebi-a-GCST004747	phenotype	opengwas	EUR	9859	0	lung carcinoma	""	TRUE
Lung cancer	ebi-a-GCST90018875	phenotype	opengwas	EUR	492803	12	lung carcinoma	ebi-a-GCST004748	FALSE
Lung cancer in ever smokers	ebi-a-GCST004749	phenotype	opengwas	EUR	40187	7	lung carcinoma	""	TRUE
Squamous cell lung carcinoma	ebi-a-GCST004750	phenotype	opengwas	EUR	63053	7	squamous cell lung carcinoma	""	TRUE
Glycated hemoglobin levels	ebi-a-GCST90002244	phenotype	opengwas	EUR	146806	74	HbA1c measurement	ebi-a-GCST004939	TRUE
Alanine transaminase levels	ebi-a-GCST004940	phenotype	opengwas	EUR	9731	0	serum alanine aminotransferase measurement	""	TRUE
Dehydroepiandrosterone sulphate levels	ebi-a-GCST004941	phenotype	opengwas	EUR	9722	6	dehydroepiandrosterone sulphate measurement	""	TRUE
Breast cancer	ebi-a-GCST90018799	phenotype	opengwas	EUR	257730	46	breast carcinoma	ebi-a-GCST004988,ebi-a-GCST007236	FALSE
Allergic disease (asthma, hay fever or eczema)	ebi-a-GCST005038	phenotype	opengwas	EUR	360838	74	allergic disease	""	TRUE
Type 2 diabetes	ebi-a-GCST006867	phenotype	opengwas	EUR	655666	118	type 2 diabetes mellitus	ebi-a-GCST005047,ebi-a-GCST005413,ebi-a-GCST90006934,ebi-a-GCST90018926,ebi-a-GCST90026417,ebi-a-GCST90029024	FALSE
