trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Ischemic stroke (large artery atherosclerosis)	ebi-a-GCST005840	phenotype	opengwas	EUR	150765	4	large artery stroke	ebi-a-GCST006907	TRUE
Ischemic stroke (large artery atherosclerosis)	ebi-a-GCST006907	phenotype	opengwas	EUR	150765	4	large artery stroke	ebi-a-GCST006907	TRUE
Ischemic stroke (small-vessel)	ebi-a-GCST005841	phenotype	opengwas	EUR	198048	1	small vessel stroke	ebi-a-GCST006909	TRUE
Ischemic stroke (small-vessel)	ebi-a-GCST006909	phenotype	opengwas	EUR	198048	0	small vessel stroke	ebi-a-GCST006909	TRUE
Ischemic stroke (cardioembolic)	ebi-a-GCST005842	phenotype	opengwas	EUR	211763	4	cardioembolic stroke	ebi-a-GCST006910	TRUE
Ischemic stroke (cardioembolic)	ebi-a-GCST006910	phenotype	opengwas	EUR	211763	4	cardioembolic stroke	ebi-a-GCST006910	TRUE
Ischemic stroke	ebi-a-GCST90018864	phenotype	opengwas	EUR	484121	15	Ischemic stroke	ebi-a-GCST005843,ebi-a-GCST006908	FALSE
Heart rate increase in response to exercise	ebi-a-GCST005845	phenotype	opengwas	EUR	54137	13	heart rate response to exercise	""	TRUE
Heart rate response to recovery post exercise (10 sec)	ebi-a-GCST005846	phenotype	opengwas	EUR	54137	22	heart rate response to recovery post exercise	""	TRUE
Heart rate response to recovery post exercise (20 sec)	ebi-a-GCST005847	phenotype	opengwas	EUR	54137	21	heart rate response to recovery post exercise	""	TRUE
Heart rate response to recovery post exercise (50 sec)	ebi-a-GCST005848	phenotype	opengwas	EUR	54137	20	heart rate response to recovery post exercise	""	TRUE
Heart rate response to recovery post exercise (40 sec)	ebi-a-GCST005849	phenotype	opengwas	EUR	54137	22	heart rate response to recovery post exercise	""	TRUE
Heart rate response to recovery post exercise (30 sec)	ebi-a-GCST005850	phenotype	opengwas	EUR	54137	24	heart rate response to recovery post exercise	""	TRUE
Depression (broad)	ebi-a-GCST005902	phenotype	opengwas	EUR	322580	14	unipolar depression	""	TRUE
Major depressive disorder (ICD-10 coded)	ebi-a-GCST005903	phenotype	opengwas	EUR	217584	1	unipolar depression	""	TRUE
Major depressive disorder (probable)	ebi-a-GCST005904	phenotype	opengwas	EUR	174519	2	unipolar depression	""	TRUE
Paternal history of Alzheimer's disease	ebi-a-GCST005920	phenotype	opengwas	EUR	260279	3	family history of Alzheimer’s disease	""	TRUE
Family history of Alzheimer's disease	ebi-a-GCST90012878	phenotype	opengwas	EUR	408942	13	family history of Alzheimer’s disease	ebi-a-GCST005921	TRUE
Maternal history of Alzheimer's disease	ebi-a-GCST005923	phenotype	opengwas	EUR	288676	4	family history of Alzheimer’s disease	""	TRUE
Atrial fibrillation	ebi-a-GCST006414	phenotype	opengwas	EUR	1030836	111	atrial fibrillation	ebi-a-GCST006061	TRUE
Prostate cancer	ebi-a-GCST90018905	phenotype	opengwas	EUR	211227	64	prostate carcinoma	ebi-a-GCST006085	FALSE
Moderate to vigorous physical activity levels	ebi-a-GCST006097	phenotype	opengwas	EUR	377234	19	physical activity measurement	""	TRUE
Vigorous physical activity	ebi-a-GCST006098	phenotype	opengwas	EUR	261055	7	physical activity measurement	""	TRUE
Accelerometer-based physical activity measurement (average acceleration)	ebi-a-GCST006099	phenotype	opengwas	EUR	91084	8	physical activity measurement	""	TRUE
Strenuous sports or other exercises	ebi-a-GCST006100	phenotype	opengwas	EUR	350492	14	physical activity measurement	""	TRUE
Heel bone mineral density	ebi-a-GCST90029004	phenotype	opengwas	EUR	583314	616	heel bone mineral density	ebi-a-GCST006288,ebi-a-GCST006979	TRUE
Conscientiousness	ebi-a-GCST006326	phenotype	opengwas	EUR	17375	1	conscientiousness measurement	""	TRUE
Extraversion	ebi-a-GCST006328	phenotype	opengwas	EUR	17375	0	extraversion measurement	""	TRUE
Anti-cytomegalovirus IgG levels	ebi-a-GCST006344	phenotype	opengwas	EUR	347	2	Anti-cytomegalovirus IgG measurement	""	TRUE
Anti-Epstein-Barr virus early antigen (EA) IgG levels	ebi-a-GCST006345	phenotype	opengwas	EUR	91	0	Anti-Epstein-Barr virus early antigen IgG measurement	""	TRUE
Anti-herpes simplex virus 1 IgG levels	ebi-a-GCST006346	phenotype	opengwas	EUR	645	0	Anti-herpes simplex virus 1 IgG measurement	""	TRUE
Anti-herpes simplex virus 2 IgG levels	ebi-a-GCST006347	phenotype	opengwas	EUR	208	0	Anti-herpes simplex virus 2 IgG measurement	""	TRUE
Anti-varicella zoster virus IgG levels	ebi-a-GCST006348	phenotype	opengwas	EUR	931	0	Anti-varicella zoster virus IgG measurement	""	TRUE
Anti-Toxoplasma gondii IgG levels	ebi-a-GCST006349	phenotype	opengwas	EUR	559	0	Anti-Toxoplasma gondii IgG measurement	""	TRUE
Anti-influenza A virus IgG levels	ebi-a-GCST006350	phenotype	opengwas	EUR	777	0	Anti-influenza A virus IgG measurement	""	TRUE
Anti-measles virus IgG levels	ebi-a-GCST006351	phenotype	opengwas	EUR	885	0	Anti-measles virus IgG measurement	""	TRUE
Anti-mumps virus IgG levels	ebi-a-GCST006352	phenotype	opengwas	EUR	912	0	Anti-mumps virus IgG measurement	""	TRUE
Anti-rubella virus IgG levels	ebi-a-GCST006353	phenotype	opengwas	EUR	935	1	Anti-rubella virus IgG measurement	""	TRUE
Anti-hepatitis B virus surface antigen (HBs) IgG levels	ebi-a-GCST006354	phenotype	opengwas	EUR	508	0	Anti-hepatitis B virus surface antigen IgG measurement	""	TRUE
Anti-hepatitis B virus core antigen (HBc) IgG levels	ebi-a-GCST006355	phenotype	opengwas	EUR	15	0	Anti-hepatitis B virus core antigen IgG measurement	""	TRUE
IgG levels	ebi-a-GCST006357	phenotype	opengwas	EUR	1000	0	serum IgG measurement	""	TRUE
IgE levels	ebi-a-GCST006358	phenotype	opengwas	EUR	1000	0	serum IgE measurement	""	TRUE
IgM levels	ebi-a-GCST006359	phenotype	opengwas	EUR	1000	0	serum IgM measurement	""	TRUE
IgA levels	ebi-a-GCST006360	phenotype	opengwas	EUR	1000	1	serum IgA measurement	""	TRUE
Anti-Epstein-Barr virus nuclear antigen (EBNA) IgG levels	ebi-a-GCST006361	phenotype	opengwas	EUR	914	2	Epstein Barr virus nuclear antigen 1 IgG measurement	""	TRUE
Anti-Epstein-Barr virus viral capsid antigen (VCA) IgG levels	ebi-a-GCST006362	phenotype	opengwas	EUR	956	0	Epstein Barr viral capsid antigen IgG measurement	""	TRUE
Anti-Helicobacter pylori IgG levels	ebi-a-GCST006363	phenotype	opengwas	EUR	175	0	anti-Helicobacter pylori serum IgG measurement	""	TRUE
Central corneal thickness	ebi-a-GCST006366	phenotype	opengwas	EUR	17803	26	central corneal thickness	""	TRUE
Philtrum width	ebi-a-GCST006407	phenotype	opengwas	EUR	6136	2	lip morphology measurement	""	TRUE
Endometrial cancer	ebi-a-GCST90018838	phenotype	opengwas	EUR	240027	1	endometrial carcinoma	ebi-a-GCST006464	FALSE
Endometrial cancer (endometrioid histology)	ebi-a-GCST006465	phenotype	opengwas	EUR	54884	11	endometrial carcinoma	""	TRUE
Endometrial cancer (Non-endometrioid histology)	ebi-a-GCST006466	phenotype	opengwas	EUR	36677	0	endometrial carcinoma	""	TRUE
Depressed affect	ebi-a-GCST006475	phenotype	opengwas	EUR	357957	61	unipolar depression,mood disorder	""	TRUE
Worry	ebi-a-GCST006478	phenotype	opengwas	EUR	348219	60	worry measurement	""	TRUE
Cognitive performance	ebi-a-GCST006572	phenotype	opengwas	EUR	257841	147	cognitive function measurement	""	TRUE
Urinary albumin excretion	ebi-a-GCST006586	phenotype	opengwas	EUR	382500	38	albuminuria	""	TRUE
Acute insulin response (insulin secretion adjusted)	ebi-a-GCST006677	phenotype	opengwas	EUR	2087	3	acute insulin response measurement	""	TRUE
Acute insulin response (insulin secretion and BMI adjusted)	ebi-a-GCST006678	phenotype	opengwas	EUR	2087	3	acute insulin response measurement	""	TRUE
insulin secretion rate (BMI adjusted)	ebi-a-GCST006679	phenotype	opengwas	EUR	527	0	insulin secretion measurement	""	TRUE
Sleep duration (oversleepers)	ebi-a-GCST006685	phenotype	opengwas	EUR	91306	0	sleep duration	""	TRUE
Sleep duration (undersleepers)	ebi-a-GCST006686	phenotype	opengwas	EUR	110188	0	sleep duration	""	TRUE
Parental longevity (mother's attained age)	ebi-a-GCST006696	phenotype	opengwas	EUR	412937	4	parental longevity	""	TRUE
Parental longevity (combined parental attained age, Martingale residuals)	ebi-a-GCST006697	phenotype	opengwas	EUR	389166	11	parental longevity	""	TRUE
Parental longevity (both parents in top 10%)	ebi-a-GCST006698	phenotype	opengwas	EUR	86949	6	parental longevity	""	TRUE
Parental longevity (mother's age at death)	ebi-a-GCST006699	phenotype	opengwas	EUR	246941	1	parental longevity	""	TRUE
Parental longevity (father's attained age)	ebi-a-GCST006701	phenotype	opengwas	EUR	415311	16	parental longevity	""	TRUE
Asthma	ebi-a-GCST90018795	phenotype	opengwas	EUR	449500	67	asthma	ebi-a-GCST006862,ebi-a-GCST90014325,ebi-a-GCST90029018,ebi-a-GCST90086043,ebi-a-GCST90086044,ebi-a-GCST90086045,ebi-a-GCST90086047	FALSE
Neurociticism	ebi-a-GCST006940	phenotype	opengwas	EUR	380506	96	neuroticism measurement	""	TRUE
Irritable mood	ebi-a-GCST006941	phenotype	opengwas	EUR	366726	38	irritability measurement	""	TRUE
Feeling lonely	ebi-a-GCST006942	phenotype	opengwas	EUR	376352	7	loneliness measurement	""	TRUE
Feeling miserable	ebi-a-GCST006943	phenotype	opengwas	EUR	376097	35	feeling miserable measurement	""	TRUE
Experiencing mood swings	ebi-a-GCST006944	phenotype	opengwas	EUR	373733	40	mood instability measurement	""	TRUE
Feeling guilty	ebi-a-GCST006945	phenotype	opengwas	EUR	373380	13	guilt measurement	""	TRUE
Worry too long after an embarrassing experience	ebi-a-GCST006946	phenotype	opengwas	EUR	367725	21	worry measurement	""	TRUE
Feeling fed-up	ebi-a-GCST006947	phenotype	opengwas	EUR	374971	27	"feeling """"fed-up"""" measurement"	""	TRUE
Feeling nervous	ebi-a-GCST006948	phenotype	opengwas	EUR	373121	35	feeling nervous measurement	""	TRUE
Feeling worry	ebi-a-GCST006950	phenotype	opengwas	EUR	372869	39	worry measurement	""	TRUE
Feeling hurt	ebi-a-GCST006951	phenotype	opengwas	EUR	372047	29	feeling emotionally hurt measurement	""	TRUE
Feeling tense	ebi-a-GCST006952	phenotype	opengwas	EUR	371318	22	feeling tense measurement	""	TRUE
Erectile dysfunction	ebi-a-GCST006956	phenotype	opengwas	EUR	223805	1	erectile dysfunction	""	TRUE
Fractures	ebi-a-GCST006980	phenotype	opengwas	EUR	426795	20	bone fracture	""	TRUE
Knee osteoarthritis	ebi-a-GCST007090	phenotype	opengwas	EUR	403124	10	osteoarthritis, knee	""	TRUE
Osteoarthritis (hip)	ebi-a-GCST007091	phenotype	opengwas	EUR	393873	27	osteoarthritis, hip	""	TRUE
Osteoarthritis of the hip or knee	ebi-a-GCST007092	phenotype	opengwas	EUR	417596	26	osteoarthritis, hip,osteoarthritis, knee	""	TRUE
Lung function (FVC)	ebi-a-GCST90029027	phenotype	opengwas	EUR	422876	353	vital capacity	ebi-a-GCST007429,ebi-a-GCST90025998	TRUE
Peak expiratory flow	ebi-a-GCST007430	phenotype	opengwas	EUR	321047	207	peak expiratory flow	""	TRUE
Lung function (FEV1/FVC)	ebi-a-GCST90029026	phenotype	opengwas	EUR	446811	438	FEV/FVC ratio	ebi-a-GCST007431,ebi-a-GCST90025978	TRUE
FEV1	ebi-a-GCST007432	phenotype	opengwas	EUR	321047	271	forced expiratory volume	""	TRUE
High IL-1beta levels in gingival crevicular fluid	ebi-a-GCST007542	phenotype	opengwas	EUR	4910	1	interleukin-1 beta measurement	""	TRUE
Birth weight	ebi-a-GCST007557	phenotype	opengwas	EUR	133903	50	birth weight	ebi-a-GCST90000030	TRUE
Asthma (adult onset)	ebi-a-GCST007799	phenotype	opengwas	EUR	327253	46	adult onset asthma	""	TRUE
Asthma (childhood onset)	ebi-a-GCST007800	phenotype	opengwas	EUR	314633	103	childhood onset asthma	""	TRUE
Arterial stiffness index	ebi-a-GCST008403	phenotype	opengwas	EUR	127121	4	arterial stiffness measurement	""	TRUE
Heart failure	ebi-a-GCST009541	phenotype	opengwas	EUR	977323	12	heart failure	""	TRUE
Glaucoma (multi-trait analysis)	ebi-a-GCST009722	phenotype	opengwas	EUR	351696	98	glaucoma	""	TRUE
Snoring	ebi-a-GCST009760	phenotype	opengwas	EUR	408317	38	snoring measurement	ebi-a-GCST009761,ebi-a-GCST009762,ebi-a-GCST009763	TRUE
Cotinine levels in current smokers	ebi-a-GCST009965	phenotype	opengwas	EUR	5185	3	cotinine measurement	""	TRUE
Smoking intensity (cotinine levels/cigarettes per day)	ebi-a-GCST009966	phenotype	opengwas	EUR	4772	2	cotinine measurement,cigarettes per day measurement	""	TRUE
Smoking behaviour (cigarette pack-years)	ebi-a-GCST009967	phenotype	opengwas	EUR	4676	2	pack-years measurement	""	TRUE
Smoking behaviour (cigarettes smoked per day)	ebi-a-GCST009968	phenotype	opengwas	EUR	4772	2	cigarettes per day measurement	""	TRUE
Cotinine and 3'-hydroxycotinine levels in current smokers	ebi-a-GCST009970	phenotype	opengwas	EUR	5185	3	cotinine measurement,trans-3-hydroxycotinine measurement	""	TRUE
Nicotine metabolite ratio in current smokers	ebi-a-GCST009971	phenotype	opengwas	EUR	5185	4	nicotine metabolite ratio	""	TRUE
Major depressive disorder	ebi-a-GCST009979	phenotype	opengwas	EUR	92957	1	unipolar depression	ebi-a-GCST90086058,ebi-a-GCST90086059,ebi-a-GCST90086060,ebi-a-GCST90086061,ebi-a-GCST90086062	TRUE
Major depressive disorder in trauma exposed individuals	ebi-a-GCST009980	phenotype	opengwas	EUR	24094	0	unipolar depression	""	TRUE
Major depressive disorder in trauma-unexposed individuals	ebi-a-GCST009981	phenotype	opengwas	EUR	49164	0	unipolar depression	""	TRUE
Trauma exposure	ebi-a-GCST009982	phenotype	opengwas	EUR	98720	5	trauma exposure measurement	""	TRUE
Trauma exposure in major depressive disorder	ebi-a-GCST009983	phenotype	opengwas	EUR	22880	0	trauma exposure measurement	""	TRUE
Trauma exposure in major depressive disorder-negative individuals	ebi-a-GCST009984	phenotype	opengwas	EUR	50378	0	trauma exposure measurement	""	TRUE
Membranous nephropathy	ebi-a-GCST010005	phenotype	opengwas	EUR	7979	4	membranous glomerulonephritis	""	TRUE
Serum 25-Hydroxyvitamin D levels	ebi-a-GCST90000618	phenotype	opengwas	EUR	496946	117	vitamin D measurement	ebi-a-GCST010144,ebi-a-GCST90000614,ebi-a-GCST90000615,ebi-a-GCST90000616,ebi-a-GCST90000617	TRUE
Type 1 diabetes	ebi-a-GCST90014023	phenotype	opengwas	EUR	520580	89	type 1 diabetes mellitus	ebi-a-GCST010681,ebi-a-GCST90000529,ebi-a-GCST90018925	TRUE
Early age-related macular degeneration	ebi-a-GCST010723	phenotype	opengwas	EUR	105248	9	age-related macular degeneration	""	TRUE
COVID-19 (very severe respiratory confirmed vs not hospitalized) RELEASE 4	ebi-a-GCST010775	phenotype	opengwas	EUR	957	0	COVID-19	""	TRUE
COVID-19 (RELEASE 4)	ebi-a-GCST010776	phenotype	opengwas	EUR	1299010	5	COVID-19	ebi-a-GCST010780	TRUE
COVID-19 (RELEASE 4)	ebi-a-GCST010780	phenotype	opengwas	EUR	1299010	3	COVID-19	ebi-a-GCST010780	TRUE
COVID-19 (hospitalized vs population) RELEASE 4	ebi-a-GCST010777	phenotype	opengwas	EUR	908494	1	COVID-19	ebi-a-GCST010779	FALSE
COVID-19 (hospitalized vs population) RELEASE 4	ebi-a-GCST010779	phenotype	opengwas	EUR	908494	7	COVID-19	ebi-a-GCST010779	FALSE
COVID-19 (covid vs lab/self reported negative) RELEASE 4	ebi-a-GCST010778	phenotype	opengwas	EUR	110624	1	COVID-19	""	TRUE
COVID-19 (predicted covid from self-reported symptoms vs predicted or self-reported non-covid) RELEASE 4	ebi-a-GCST010781	phenotype	opengwas	EUR	38932	0	COVID-19	""	TRUE
COVID-19 (hospitalized covid vs not hospitalized covid) RELEASE 4	ebi-a-GCST010782	phenotype	opengwas	EUR	8219	1	COVID-19	""	TRUE
COVID-19 (very severe respiratory confirmed vs population) RELEASE 4	ebi-a-GCST010783	phenotype	opengwas	EUR	626151	7	COVID-19	""	TRUE
COVID-19 (RELEASE 5)	ebi-a-GCST011073	phenotype	opengwas	EUR	1683768	7	COVID-19	ebi-a-GCST011071,ebi-a-GCST011072,ebi-a-GCST011074	FALSE
COVID-19 (very severe respiratory confirmed vs population) RELEASE 5	ebi-a-GCST011075	phenotype	opengwas	EUR	1388342	8	COVID-19	ebi-a-GCST011076,ebi-a-GCST011077,ebi-a-GCST011078	TRUE
COVID-19 (hospitalized vs not hospitalized) RELEASE 5	ebi-a-GCST011080	phenotype	opengwas	EUR	16645	1	COVID-19	ebi-a-GCST011079	TRUE
COVID-19 (hospitalized vs population) RELEASE 5	ebi-a-GCST011081	phenotype	opengwas	EUR	1887658	5	COVID-19	ebi-a-GCST011082,ebi-a-GCST011083,ebi-a-GCST011084	FALSE
Myocardial infarction	ebi-a-GCST90018877	phenotype	opengwas	EUR	461823	82	myocardial infarction	ebi-a-GCST011364,ebi-a-GCST011365	TRUE
Daytime nap	ebi-a-GCST011494	phenotype	opengwas	EUR	452633	107	daytime rest measurement	""	TRUE
Complement C4 levels	ebi-a-GCST011833	phenotype	opengwas	EUR	3247	2	complement C4 measurement	""	TRUE
Complement C3 levels	ebi-a-GCST011834	phenotype	opengwas	EUR	3210	2	complement C3 measurement	""	TRUE
Sporadic miscarriage	ebi-a-GCST011888	phenotype	opengwas	EUR	224105	0	fertility measurement	""	TRUE
Oral cavity and pharyngeal cancer	ebi-a-GCST012235	phenotype	opengwas	EUR	5425	1	head and neck malignant neoplasia	ebi-a-GCST012234	TRUE
Oral cavity cancer	ebi-a-GCST012237	phenotype	opengwas	EUR	4151	0	oral cavity cancer	ebi-a-GCST012238	TRUE
Oropharynx cancer	ebi-a-GCST012241	phenotype	opengwas	EUR	4018	1	oropharynx cancer	ebi-a-GCST012242	TRUE
Response to lithium treatment in bipolar disorder (continuous phenotype)	ebi-a-GCST012487	phenotype	opengwas	EUR	2039	1	response to lithium ion	""	TRUE
Colorectal cancer	ebi-a-GCST90018808	phenotype	opengwas	EUR	470002	30	colorectal cancer	ebi-a-GCST012876,ebi-a-GCST012877,ebi-a-GCST012878,ebi-a-GCST012879,ebi-a-GCST012880	TRUE
Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty)	ebi-a-GCST90000014	phenotype	opengwas	EUR	2829	0	Parkinson disease	""	TRUE
Parkinson's disease motor subtype (tremor to postural instability/gait difficulty score ratio)	ebi-a-GCST90000015	phenotype	opengwas	EUR	3212	0	Parkinson's disease symptom measurement	""	TRUE
Appendicular lean mass	ebi-a-GCST90000025	phenotype	opengwas	EUR	450243	690	appendicular lean mass	ebi-a-GCST90000026,ebi-a-GCST90000027	TRUE
Myeloproliferative neoplasms	ebi-a-GCST90000032	phenotype	opengwas	EUR	408241	4	myeloproliferative disorder	""	TRUE
Age at first sexual intercourse	ebi-a-GCST90000047	phenotype	opengwas	EUR	397338	196	age at first sexual intercourse measurement	ebi-a-GCST90000045,ebi-a-GCST90000046	TRUE
Age at first birth	ebi-a-GCST90000050	phenotype	opengwas	EUR	542901	67	age at first birth measurement	ebi-a-GCST90000048,ebi-a-GCST90000049	FALSE
Severe COVID-19 infection with respiratory failure (analysis I)	ebi-a-GCST90000255	phenotype	opengwas	EUR	3815	2	COVID-19	""	TRUE
Severe COVID-19 infection with respiratory failure (analysis II)	ebi-a-GCST90000256	phenotype	opengwas	EUR	3790	1	COVID-19	""	TRUE
Myocardial fractal dimension (slice 1)	ebi-a-GCST90000287	phenotype	opengwas	EUR	18096	1	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 2)	ebi-a-GCST90000288	phenotype	opengwas	EUR	18096	2	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 3)	ebi-a-GCST90000289	phenotype	opengwas	EUR	18096	6	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 4)	ebi-a-GCST90000290	phenotype	opengwas	EUR	18096	9	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 5)	ebi-a-GCST90000291	phenotype	opengwas	EUR	18096	9	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 6)	ebi-a-GCST90000292	phenotype	opengwas	EUR	18096	9	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 7)	ebi-a-GCST90000293	phenotype	opengwas	EUR	18096	5	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 8)	ebi-a-GCST90000294	phenotype	opengwas	EUR	18096	4	left ventricular structural measurement	""	TRUE
Myocardial fractal dimension (slice 9)	ebi-a-GCST90000295	phenotype	opengwas	EUR	18096	0	left ventricular structural measurement	""	TRUE
4E-BP1 levels	ebi-a-GCST90000437	phenotype	opengwas	EUR	982	0	4E-BP1 measurement	""	TRUE
Adenosine Deaminase levels	ebi-a-GCST90000438	phenotype	opengwas	EUR	982	1	adenosine deaminase measurement	""	TRUE
Axin-1 levels	ebi-a-GCST90000439	phenotype	opengwas	EUR	982	1	axin-1 measurement	""	TRUE
Caspase 8 levels	ebi-a-GCST90012072	phenotype	opengwas	EUR	21758	2	caspase-8 measurement	ebi-a-GCST90000441	TRUE
CCL11 levels	ebi-a-GCST90000442	phenotype	opengwas	EUR	982	1	CCL11 measurement	""	TRUE
CCL19 levels	ebi-a-GCST90000443	phenotype	opengwas	EUR	982	0	CCL19 measurement	""	TRUE
CCL20 levels	ebi-a-GCST90000444	phenotype	opengwas	EUR	982	0	CCL20 measurement	""	TRUE
CCL23 levels	ebi-a-GCST90000445	phenotype	opengwas	EUR	982	1	CCL23 measurement	""	TRUE
CCL25 levels	ebi-a-GCST90000446	phenotype	opengwas	EUR	982	2	CCL25 measurement	""	TRUE
CCL28 levels	ebi-a-GCST90000447	phenotype	opengwas	EUR	982	0	CCL28 measurement	""	TRUE
CCL3 levels	ebi-a-GCST90000448	phenotype	opengwas	EUR	982	0	CCL3 measurement	""	TRUE
CCL4 levels	ebi-a-GCST90000449	phenotype	opengwas	EUR	982	2	CCL4 measurement	""	TRUE
