"id","trait","note"
"UKB-b-11241","Non-cancer illness code, self-reported: back pain","20002#1534: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11261","Diagnoses - main ICD10: I84.9 Unspecified haemorrhoids without complication","41202#I849: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11262","Blood sample #, note contents: Poor venous access/flow","20049#433: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11268","Treatment/medication code: simvastatin","20003#1140861958: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11274","Diagnoses - main ICD10: K60.2 Anal fissure, unspecified","41202#K602: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11282","Non-cancer illness code, self-reported: vaginal prolapse/uterine prolapse","20002#1353: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11297","Doctor diagnosed asthma","22127: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11298","Diagnoses - main ICD10: N81.1 Cystocele","41202#N811: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11303","Father's age at death","1807: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11311","Diagnoses - secondary ICD10: F41.9 Anxiety disorder, unspecified","41204#F419: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11312","Particulate matter air pollution (pm2.5) absorbance; 2010","24007: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11355","Ever stopped smoking for 6+ months","2907: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11361","ECG, heart rate","5983: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11364","Heel bone mineral density (BMD), manual entry","3084: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11369","Diagnoses - main ICD10: K40.2 Bilateral inguinal hernia, without obstruction or gangrene","41202#K402: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1138","6mm strong meridian angle (right)","5106: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11402","Operation code: colectomy/hemicolectomy","20004#1464: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11403","Diagnoses - main ICD10: L90.5 Scar conditions and fibrosis of skin","41202#L905: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11409","Operative procedures - secondary OPCS: U08.1 Computed tomography of abdomen NEC","41210#U081: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11411","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)","6152#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11412","Diagnoses - main ICD10: R04.0 Epistaxis","41202#R040: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11413","Pain type(s) experienced in last month: Stomach or abdominal pain","6159#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11417","Operative procedures - main OPCS: V54.4 Injection around spinal facet of spine","41200#V544: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11427","Operative procedures - secondary OPCS: Z81.4 Shoulder joint","41210#Z814: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11452","6mm strong meridian (right)","5133: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-11461","Medication for pain relief, constipation, heartburn: Laxatives (e.g. Dulcolax, Senokot)","6154#6: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
